t,x,y,dx/dtime,dy/dtime
0,1,1,1,-1.0
0.1,1.1,0.9,0.9,-1.1945000000000001
0.2,1.1900000000000002,0.78055,0.78055,-1.3523934275000002
0.3,1.2680550000000002,0.6453106572499999,0.6453106572499999,-1.4642176574074313
0.4,1.3325860657250002,0.49888889150925675,0.49888889150925675,-1.5261014803699948
0.5,1.3824749548759259,0.3462787434722573,0.3462787434722573,-1.5402459567074007
0.6,1.4171028292231516,0.1922541478015172,0.1922541478015172,-1.5140162637877383
0.7,1.4363282440033034,0.04085252142274334,0.04085252142274334,-1.458042152179292
0.8,1.4404134961455777,-0.10495169379518585,-0.10495169379518585,-1.384012926090018
0.9,1.4299183267660591,-0.24335298640418765,-0.24335298640418765,-1.3028069800658522
1.0,1.4055830281256403,-0.3736336844107729,-0.3736336844107729,-1.2233126261733116
1.1,1.368219659684563,-0.49596494702810406,-0.49596494702810406,-1.1519727340065822
1.2,1.3186231649817526,-0.6111622204287623,-0.6111622204287623,-1.0928699092781557
1.3,1.2575069429388763,-0.7204492113565779,-0.7204492113565779,-1.0480998381781284
1.4,1.1854620218032186,-0.8252591951743907,-0.8252591951743907,-1.0182149086632593
1.5,1.1029361022857795,-0.9270806860407167,-0.9270806860407167,-1.0025944301173053
1.6,1.0102280336817078,-1.0273401290524473,-1.0273401290524473,-0.9996666278407021
1.7,0.907494020776463,-1.1273067918365176,-1.1273067918365176,-1.0069532565628816
1.8,0.7947633415928113,-1.2280021174928057,-1.2280021174928057,-1.0209313873315322
1.9,0.6719631298435307,-1.330095256225959,-1.330095256225959,-1.0367188443898523
2.0,0.5389536042209347,-1.4337671406649442,-1.4337671406649442,-1.0476032959544466
2.1,0.3955768901544403,-1.5385274702603888,-1.5385274702603888,-1.044465408265022
2.2,0.2417241431284014,-1.6429740110868911,-1.6429740110868911,-1.0152112017788304
2.3,0.07742674201971228,-1.744495131264774,-1.744495131264774,-0.9444452703896213
2.4,-0.09702277110676513,-1.8389396583037363,-1.8389396583037363,-0.813791704100791
2.5,-0.2809167369371388,-1.9203188287138153,-1.9203188287138153,-0.6034724527934847
2.6,-0.4729486198085203,-1.9806660739931639,-1.9806660739931639,-0.29586633033146115
2.7,-0.6710152272078367,-2.01025270702631,-2.01025270702631,0.1184585081293591
2.8,-0.8720404979104677,-1.9984068562133739,-1.9984068562133739,0.6326859430153225
2.9,-1.0718811835318052,-1.9351382619118416,-1.9351382619118416,1.2159805494369493
3.0,-1.2653950097229894,-1.8135402069681466,-1.8135402069681466,1.8105674395811902
3.1,-1.446749030419804,-1.6324834630100276,-1.6324834630100276,2.338968792688608
3.2,-1.609997376720807,-1.3985865837411668,-1.3985865837411668,2.7233363198110085
3.3,-1.7498560350949235,-1.126252951760066,-1.126252951760066,2.9110206566950296
3.4,-1.86248133027093,-0.835150886090563,-0.835150886090563,2.893406911421549
3.5,-1.9459964188799863,-0.545810194948408,-0.545810194948408,2.706556197841317
3.6,-2.000577438374827,-0.27515457516427627,-0.27515457516427627,2.413627116615753
3.7,-2.0280928958912545,-0.03379186350270097,-0.03379186350270097,2.0806926482038186
3.8,-2.0314720822415246,0.1742774013176809,0.1742774013176809,1.7589999246683237
3.9,-2.0140443421097567,0.3501773937845133,0.3501773937845133,1.478907694082845
4.0,-1.9790266027313053,0.4980681631927978,0.4980681631927978,1.252707174892389
4.1,-1.9292197864120255,0.6233388806820367,0.6233388806820367,1.0808901700099538
4.2,-1.866885898343822,0.7314278976830321,0.7314278976830321,0.9579905682707166
4.3,-1.7937431085755187,0.8272269545101038,0.8272269545101038,0.8765492917262717
4.4,-1.7110204131245084,0.9148818836827309,0.9148818836827309,0.8292614373270448
4.5,-1.6195322247562354,0.9978080274154354,0.9978080274154354,0.8098685705494686
4.6,-1.519751422014692,1.0787948844703823,1.0787948844703823,0.8133325906613743
4.7,-1.4118719335676537,1.1601281435365198,1.1601281435365198,0.8356465188617779
4.8,-1.2958591192140017,1.2436927954226977,1.2436927954226977,0.8734694207394272
4.9,-1.171489839671732,1.3310397374966405,1.3310397374966405,0.9236579309952481
5.0,-1.038385865922068,1.4234055305961653,1.4234055305961653,0.9826985360514455
5.1,-0.8960453128624514,1.5216753842013098,1.5216753842013098,1.0460085502646603
5.2,-0.7438777744423204,1.6262762392277759,1.6262762392277759,1.1070625464851631
5.3,-0.5812501505195428,1.736982493876292,1.736982493876292,1.1563201206943408
5.4,-0.40755190113191353,1.8526145059457262,1.8526145059457262,1.1800008605712151
5.5,-0.2222904505373409,1.9706145920028477,1.9706145920028477,1.15891071337371
5.6,-0.02522899133705611,2.0865056633402186,2.0865056633402186,1.0678177904892483
5.7,0.18342157499696576,2.1932874423891433,2.1932874423891433,0.8763272414851141
5.8,0.4027503192358801,2.280920166537655,2.280920166537655,0.552718220534208
5.9,0.6308423358896456,2.3361919885910756,2.3361919885910756,0.07239577870616487
6.0,0.8644615347487531,2.343431566461692,2.343431566461692,-0.5683616273145959
6.1,1.0988046913949223,2.2865954037302325,2.2865954037302325,-1.3358923364090132
6.2,1.3274642317679457,2.153006170089331,2.153006170089331,-2.147933208119499
6.3,1.5427648487768788,1.9382128492773811,1.9382128492773811,-2.880251281793075
6.4,1.736586133704617,1.6501877210980735,1.6501877210980735,-3.3997537361750085
6.5,1.9016049058144242,1.3102123474805727,1.3102123474805727,-3.6154289647361404
6.6,2.0326261405624813,0.9486694510069587,0.9486694510069587,-3.5180380755210416
6.7,2.1274930856631773,0.5968656434548545,0.5968656434548545,-3.17983490845514
6.8,2.187179650008663,0.27888215260934046,0.27888215260934046,-2.71479049477934
6.9,2.2150678652695968,0.007403103131406463,0.007403103131406463,-2.2295280713974854
7.0,2.2158081755827372,-0.21554970400834209,-0.21554970400834209,-1.7944294264729042
7.1,2.194253205181903,-0.3949926466556325,-0.3949926466556325,-1.440854672887475
7.2,2.1547539405163394,-0.53907811394438,-0.53907811394438,-1.172832712697447
7.3,2.1008461291219014,-0.6563613852141247,-0.6563613852141247,-0.9805834627626471
7.4,2.035209990600489,-0.7544197314903894,-0.7544197314903894,-0.8499865265998658
7.5,1.9597680174514498,-0.8394183841503761,-0.8394183841503761,-0.7675040262790342
7.6,1.8758261790364121,-0.9161687867782795,-0.9161687867782795,-0.722038090281147
7.7,1.7842093003585842,-0.9883725958063942,-0.9883725958063942,-0.7052015402118712
7.8,1.6853720407779447,-1.0588927498275813,-1.0588927498275813,-0.7109371506833033
7.9,1.5794827657951864,-1.1299864648959117,-1.1299864648959117,-0.7349502004947155
8.0,1.4664841193055953,-1.2034814849453832,-1.2034814849453832,-0.7741358600596892
8.1,1.346135970811057,-1.280895070951352,-1.280895070951352,-0.8260400220603538
8.2,1.2180464637159218,-1.3634990731573875,-1.3634990731573875,-0.8883270350809136
8.3,1.081696556400183,-1.4523317766654789,-1.4523317766654789,-0.9581993826631484
8.4,0.9364633787336352,-1.5481517149317936,-1.5481517149317936,-1.0317028393436898
8.5,0.7816482072404558,-1.6513219988661625,-1.6513219988661625,-1.1028518693560372
8.6,0.6165160073538396,-1.7616071858017661,-1.7616071858017661,-1.1625332121873297
8.7,0.440355288773663,-1.877860507020499,-1.877860507020499,-1.1972149662701306
8.8,0.2525692380716131,-1.997582003647512,-1.997582003647512,-1.1876461433439585
8.9,0.05281103770686185,-2.116346617981908,-2.116346617981908,-1.1080330953035626
9.0,-0.15882362409132894,-2.227149927512264,-2.227149927512264,-0.9266614740436425
9.1,-0.38153861684255536,-2.3198160749166283,-2.3198160749166283,-0.6095196170359016
9.2,-0.6135202243342182,-2.3807680366202186,-2.3807680366202186,-0.12879483862676033
9.3,-0.85159702799624,-2.3936475204828946,-2.3936475204828946,0.5227308008141893
9.4,-1.0909617800445295,-2.341374440401476,-2.341374440401476,1.3136236861371495
9.5,-1.325099224084677,-2.210012071787761,-2.210012071787761,2.1603599753492944
9.6,-1.5461004312634532,-1.9939760742528314,-1.9939760742528314,2.9323390616888614
9.7,-1.7454980386887364,-1.7007421680839452,-1.7007421680839452,3.4860064525315995
9.8,-1.915572255497131,-1.3521415228307851,-1.3521415228307851,3.720287083863524
9.9,-2.0507864077802096,-0.9801128144444327,-0.9801128144444327,3.6217724300811307
10.0,-2.148797689224653,-0.6179355714363195,-0.6179355714363195,3.266436595836023
10.1,-2.210591246368285,-0.2912919118527172,-0.2912919118527172,2.776675372575477
10.2,-2.2397204375535567,-0.013624374595169464,-0.013624374595169464,2.267080549918516
10.3,-2.2410828750130736,0.21308368039668216,0.21308368039668216,1.81252338859455
10.4,-2.219774506973405,0.39433601925613715,0.39433601925613715,1.445417090374978
10.5,-2.1803409050477915,0.538877728293635,0.538877728293635,1.1688980005298741
10.6,-2.126453132218428,0.6557675283466224,0.6557675283466224,0.971711132977606
10.7,-2.0608763793837657,0.7529386416443831,0.7529386416443831,0.8384008898213757
10.8,-1.9855825152193274,0.8367787306265206,0.8367787306265206,0.7544559404751898
10.9,-1.9019046421566754,0.9122243246740396,0.9122243246740396,0.7081490681166851
11.0,-1.8106822096892714,0.983039231485708,0.983039231485708,0.6907203271503246
11.1,-1.7123782865407007,1.0521112642007404,1.0521112642007404,0.6959128695950203
11.2,-1.6071671601206265,1.1217025511602425,1.1217025511602425,0.7193472854369984
11.3,-1.4949969050046024,1.1936372797039423,1.1936372797039423,0.757916487297026
11.4,-1.375633177034208,1.2694289284336449,1.2694289284336449,0.8092351646651613
11.5,-1.2486902841908436,1.350352444900161,1.350352444900161,0.8711132233266996
11.6,-1.1136550397008276,1.437463767232831,1.437463767232831,0.9409958420247813
11.7,-0.9699086629775444,1.531563351435309,1.531563351435309,1.0153020454070967
11.8,-0.8167523278340135,1.6330935559760187,1.6330935559760187,1.0885935169169032
11.9,-0.6534429722364117,1.741952907667709,1.741952907667709,1.1525231776463647
12.0,-0.4792476814696408,1.8572052254323455,1.8572052254323455,1.1945703873973268
12.1,-0.29352715892640624,1.9766622641720781,1.9766622641720781,1.1967054665591799
12.2,-0.09586093250919842,2.096332810827996,2.096332810827996,1.13439540310702
12.3,0.11377234857360122,2.209772351138698,2.209772351138698,0.9768120175894967
12.4,0.33474958368747104,2.307453552897648,2.307453552897648,0.689693703969471
12.5,0.5654949389772359,2.376422923294595,2.376422923294595,0.24274488360887658
12.6,0.8031372313066953,2.4006974116554827,2.4006974116554827,-0.3770487457672725
12.7,1.0432069724722437,2.3629925370787555,2.3629925370787555,-1.1475103933864355
12.8,1.2795062261801193,2.248241497740112,2.248241497740112,-1.9957242291593367
12.9,1.5043303759541304,2.0486690748241783,2.0486690748241783,-2.798075017149569
13.0,1.7091972834365483,1.7688615731092212,1.7688615731092212,-3.408503110166433
13.1,1.8860834407474705,1.428011262092578,1.428011262092578,-3.712017713342391
13.2,2.0288845669567284,1.056809490758339,1.056809490758339,-3.6755906297872776
13.3,2.1345655160325623,0.6892504277796112,0.6892504277796112,-3.3601802680466983
13.4,2.2034905588105236,0.35323240097494135,0.35323240097494135,-2.8844114732069888
13.5,2.238813798908018,0.06479125365424249,0.06479125365424249,-2.3687943586106015
13.6,2.2452929242734423,-0.17208818220681768,-0.17208818220681768,-1.8975594699615232
13.7,2.2280841060527603,-0.36184412920297004,-0.36184412920297004,-1.510844130094688
13.8,2.1918996931324632,-0.5129285422124389,-0.5129285422124389,-1.216200797093466
13.9,2.140606838911219,-0.6345486219217855,-0.6345486219217855,-1.00406755133728
14.0,2.0771519767190405,-0.7349553770555135,-0.7349553770555135,-0.859125006552417
14.1,2.003656439013489,-0.8208678777107552,-0.8208678777107552,-0.7663462284658611
14.2,1.9215696512424134,-0.8975025005573414,-0.8975025005573414,-0.7133383563012756
14.3,1.8318194011866793,-0.9688363361874689,-0.9688363361874689,-0.6907422179973133
14.4,1.7349357675679324,-1.0379105579872,-1.0379105579872,-0.6918345578580873
14.5,1.6311447117692124,-1.1070940137730088,-1.1070940137730088,-0.7119062459283998
14.6,1.5204353103919115,-1.1782846383658487,-1.1782846383658487,-0.7476434659824829
14.7,1.4026068465553265,-1.2530489849640971,-1.2530489849640971,-0.7965659671298897
14.8,1.2773019480589167,-1.332705581677086,-1.332705581677086,-0.8564999830512938
14.9,1.1440313898912082,-1.4183555799822154,-1.4183555799822154,-0.9250317418224541
15.0,1.0021958318929867,-1.510858754164461,-1.510858754164461,-0.9988745976178112
15.1,0.8511099564765405,-1.610746213926242,-1.610746213926242,-1.0730803219730378
15.2,0.6900353350839163,-1.718054246123546,-1.718054246123546,-1.1400377555456633
15.3,0.5182299104715617,-1.8320580216781124,-1.8320580216781124,-1.1882481181563493
15.4,0.3350241083037505,-1.9508828334937474,-1.9508828334937474,-1.2009808556098327
15.5,0.13993582495437576,-2.0709809190547306,-2.0709809190547306,-1.1551492739516984
15.6,-0.06716226695109731,-2.1864958464499002,-2.1864958464499002,-1.0211542662276845
15.7,-0.28581185159608735,-2.288611273072669,-2.288611273072669,-0.765017271773552
15.8,-0.5146729789033543,-2.365113000250024,-2.365113000250024,-0.35463816956132266
15.9,-0.7511842789283567,-2.400576817206156,-2.400576817206156,0.22819199799429313
16.0,-0.9912419606489723,-2.377757617406727,-2.377757617406727,0.9705086567408945
16.1,-1.229017722389645,-2.2807067517326374,-2.2807067517326374,1.8111505159344925
16.2,-1.4570883975629088,-2.099591700139188,-2.099591700139188,2.6361210436570923
16.3,-1.6670475675768275,-1.835979595773479,-1.835979595773479,3.3001951075053766
16.4,-1.8506455271541755,-1.5059600850229413,-1.5059600850229413,3.6765384494457685
16.5,-2.0012415356564697,-1.1383062400783643,-1.1383062400783643,3.7115282686428532
16.6,-2.1150721596643063,-0.7671534132140789,-0.7671534132140789,3.4474374496486373
16.7,-2.191787500985714,-0.42240966824921516,-0.42240966824921516,2.9951964229987587
16.8,-2.2340284678106355,-0.12289002594933929,-0.12289002594933929,2.4792483375070846
16.9,-2.2463174704055695,0.1250348078013692,0.1250348078013692,1.9933756691141509
17.0,-2.2338139896254328,0.3243723747127843,0.3243723747127843,1.5867032757287058
17.1,-2.2013767521541543,0.4830427022856549,0.4830427022856549,1.272471239796874
17.2,-2.1530724819255886,0.6102898262653422,0.6102898262653422,1.0436506788999782
17.3,-2.0920434992990544,0.7146548941553401,0.7146548941553401,0.8854752033765416
17.4,-2.02057800988352,0.8032024144929943,0.8032024144929943,0.7825477138615147
17.5,-1.9402577684342208,0.8814571858791458,0.8814571858791458,0.7218194087354419
17.6,-1.8521120498463062,0.95363912675269,0.95363912675269,0.6932883838555564
17.7,-1.7567481371710372,1.0229679651382457,1.0229679651382457,0.6897086572313107
17.8,-1.6544513406572126,1.0919388308613769,1.0919388308613769,0.7059882281766426
17.9,-1.545257457571075,1.162537653679041,1.162537653679041,0.738560599628607
18.0,-1.4290036922031708,1.2363937136419016,1.2363937136419016,0.78481069790719
18.1,-1.3053643208389807,1.3148747834326207,1.3148747834326207,0.8425441689152188
18.2,-1.1738768424957187,1.3991292003241425,1.3991292003241425,0.9094506289617779
18.3,-1.0339639224633044,1.4900742632203203,1.4900742632203203,0.9824957196079537
18.4,-0.8849564961412724,1.5883238351811158,1.5883238351811158,1.0571720962448754
18.5,-0.7261241126231608,1.6940410448056034,1.6940410448056034,1.1265477902492351
18.6,-0.5567200081426005,1.8066958238305268,1.8066958238305268,1.180086827002253
18.7,-0.3760504257595478,1.9247045065307522,1.9247045065307522,1.2023126718580708
18.8,-0.18357997510647256,2.0449357737165594,2.0449357737165594,1.1715890508057973
18.9,0.020913602265183406,2.162094678797139,2.162094678797139,1.0596609099888963
19.0,0.23712307014489734,2.268060769796029,2.268060769796029,0.8331437909429457
19.1,0.46392914712450023,2.3513751488903236,2.3513751488903236,0.458714892575286
19.2,0.6990666620135326,2.3972466381478523,2.3972466381478523,-0.08620360448511244
19.3,0.9387913258283178,2.388626277699341,2.388626277699341,-0.7970611745958258
19.4,1.177653953598252,2.3089201602397584,2.3089201602397584,-1.6242785791851073
19.5,1.4085459696222278,2.146492302321248,2.146492302321248,-2.4646220589770573
19.6,1.6231951998543526,1.9000300964235421,1.9000300964235421,-3.1762443240977087
19.7,1.8131982094967067,1.5824056640137711,1.5824056640137711,-3.6232232336088943
19.8,1.9714387758980838,1.2200833406528817,1.2200833406528817,-3.7323672769874445
19.9,2.093447109963372,0.8468466129541372,0.8468466129541372,-3.525685252264288
20.0,2.1781317712587858,0.4942780877277084,0.4942780877277084,-3.103484116563009
20.1,2.2275595800315564,0.18392967607140753,0.18392967607140753,-2.5919262623649257
20.2,2.245952547638697,-0.07526295016508505,-0.07526295016508505,-2.0937594658539815
20.3,2.2384262526221885,-0.2846388967504832,-0.2846388967504832,-1.667646691716912
20.4,2.2099623629471403,-0.4514035659221744,-0.4514035659221744,-1.3333516142229804
20.5,2.164822006354923,-0.5847387273444724,-0.5847387273444724,-1.087015702844075
20.6,2.1063481336204757,-0.6934402976288799,-0.6934402976288799,-0.9147741452560836
20.7,2.037004103857588,-0.7849177121544884,-0.7849177121544884,-0.8009997871807772
20.8,1.958512332642139,-0.8650176908725661,-0.8650176908725661,-0.7320164830637028
20.9,1.8720105635548823,-0.9382193391789364,-0.9382193391789364,-0.6971612594736518
21.0,1.7781886296369886,-1.0079354651263015,-1.0079354651263015,-0.6886331698816346
21.1,1.6773950831243585,-1.076798782114465,-1.076798782114465,-0.700924731319352
21.2,1.569715204912912,-1.1468912552464001,-1.1468912552464001,-0.7301874660185416
21.3,1.4550260793882719,-1.2199100018482543,-1.2199100018482543,-0.7736448039590518
21.4,1.3330350792034464,-1.2972744822441595,-1.2972744822441595,-0.829055279482308
21.5,1.2033076309790305,-1.3801800101923902,-1.3801800101923902,-0.8941823274703311
21.6,1.0652896299597914,-1.4695982429394234,-1.4695982429394234,-0.9662078499823048
21.7,0.918329805665849,-1.566219027937654,-1.566219027937654,-1.0410198614237909
21.8,0.7617079028720836,-1.670321014080033,-1.670321014080033,-1.112309177935685
21.9,0.5946758014640803,-1.7815519318736015,-1.7815519318736015,-1.1704383704695198
22.0,0.4165206082767201,-1.8985957689205535,-1.8985957689205535,-1.2011253560894852
22.1,0.22666103138466476,-2.0187083045295022,-2.0187083045295022,-1.1841593888410906
22.2,0.024790200931714523,-2.137124243413611,-2.137124243413611,-1.0926956334458748
22.3,-0.1889222234096466,-2.2463938067581983,-2.2463938067581983,-0.8941859780742238
22.4,-0.41356160408546644,-2.335812404565621,-2.335812404565621,-0.5545938626845697
22.5,-0.6471428445420285,-2.391271790834078,-2.391271790834078,-0.04776807759383461
22.6,-0.8862700236254364,-2.3960485985934614,-2.3960485985934614,0.6292633274308704
22.7,-1.1258748834847825,-2.3331222658503745,-2.3331222658503745,1.438039938734222
22.8,-1.3591871100698198,-2.189318271976952,-2.189318271976952,2.2867898776484226
22.9,-1.578118937267515,-1.9606392842121099,-1.9606392842121099,3.0392455434018837
23.0,-1.7741828656887262,-1.6567147298719216,-1.6567147298719216,3.5532665555070224
23.1,-1.9398543386759184,-1.3013880743212194,-1.3013880743212194,3.7377446434734023
23.2,-2.0699931461080405,-0.9276136099738792,-0.9276136099738792,3.593538959261058
23.3,-2.1627545071054284,-0.5682597140477734,-0.5682597140477734,3.2076440617006794
23.4,-2.219580478510206,-0.24749530787770546,-0.24749530787770546,2.705480282310352
23.5,-2.2443300092979763,0.02305272035332978,0.02305272035332978,2.1977978951193244
23.6,-2.242024737262643,0.24283250986526222,0.24283250986526222,1.753120948341839
23.7,-2.217741486276117,0.41814460469944614,0.41814460469944614,1.3985173227006371
23.8,-2.1759270258061725,0.5579963369695099,0.5579963369695099,1.1339641662542057
23.9,-2.1201273921092216,0.6713927535949304,0.6713927535949304,0.9468886436855539
24.0,-2.0529881167497286,0.7660816179634858,0.7660816179634858,0.8216037661806384
24.1,-1.97637995495338,0.8482419945815497,0.8482419945815497,0.7438513714529051
24.2,-1.8915557554952251,0.9226271317268402,0.9226271317268402,0.7022971437708954
24.3,-1.799293042322541,0.9928568461039298,0.9928568461039298,0.6885565605625439
24.4,-1.7000073577121482,1.061712502160184,1.061712502160184,0.6966757631245784
24.5,-1.5938361074961298,1.131380078472642,1.131380078472642,0.7224960819984739
24.6,-1.4806980996488657,1.2036296866724894,1.2036296866724894,0.7630538417278637
24.7,-1.3603351309816167,1.2799350708452757,1.2799350708452757,0.8160352745905046
24.8,-1.2323416238970892,1.3615385983043262,1.3615385983043262,0.8792498176441619
24.9,-1.0961877640666566,1.4494635800687423,1.4494635800687423,0.9500618223872457
25.0,-0.9512414060597824,1.5444697623074668,1.5444697623074668,1.0247116684736113
